Matlab,Python
0.1,0.1
0.09,0.09
0.08,0.08
0.07,0.07
0.06,0.06
0.05,0.05
0.04,0.039999999999999994
0.03,0.03
0.02,0.020000000000000004
0.01,0.01
-590.818694482069 + 8131.07733963014i,-590.8186944820595+8131.077339630158j
-590.818694482069 - 8131.07733963014i,-590.8186944820595-8131.077339630158j
-638.367379760691 + 7667.22543682719i,-638.367379760677+7667.225436827175j
-638.367379760691 - 7667.22543682719i,-638.367379760677-7667.225436827175j
-408.906582638367 + 296.510293731378i,-408.906582638529+296.5102937312824j
-408.906582638367 - 296.510293731378i,-408.906582638529-296.5102937312824j
-22.0967045790522 + 41.2103722027231i,-22.096704578232302+41.21037220364508j
-22.0967045790522 - 41.2103722027231i,-22.096704578232302-41.21037220364508j
-3.92641615559131 + 12.1048489854597i,-3.9264161563762783+12.104848985035728j
-3.92641615559131 - 12.1048489854597i,-3.9264161563762783-12.104848985035728j
-6.203978451,-6.203978451892079+0j
-14.30401465,-14.30401465281691+0j
-31.61414693,-31.614146926161705+0j
-590.815443371260 + 8131.07637748769i,-590.8154433712502+8131.076377487717j
-590.815443371260 - 8131.07637748769i,-590.8154433712502-8131.076377487717j
-638.371077563194 + 7667.22702645737i,-638.3710775631813+7667.227026457356j
-638.371077563194 - 7667.22702645737i,-638.3710775631813-7667.227026457356j
-408.562053176377 + 296.377315656202i,-408.5620531765237+296.37731565611307j
-408.562053176377 - 296.377315656202i,-408.5620531765237-296.37731565611307j
-22.7148277550545 + 38.9539390346872i,-22.714827754259503+38.95393903551264j
-22.7148277550545 - 38.9539390346872i,-22.714827754259503-38.95393903551264j
-3.60663130265219 + 11.9965444215047i,-3.606631303421178+11.996544421136308j
-3.60663130265219 - 11.9965444215047i,-3.606631303421178-11.996544421136308j
-6.137083015,-6.137083015662928+0j
-14.46239986,-14.462399855950947+0j
-31.61414605,-31.614146053733943+0j
-590.812192229027 + 8131.07541539354i,-590.8121922290154+8131.075415393561j
-590.812192229027 - 8131.07541539354i,-590.8121922290154-8131.075415393561j
-638.374775396724 + 7667.22861603914i,-638.3747753967104+7667.228616039121j
-638.374775396724 - 7667.22861603914i,-638.3747753967104-7667.228616039121j
-408.216156925334 + 296.244650993177i,-408.2161569254656+296.24465099309407j
-408.216156925334 - 296.244650993177i,-408.2161569254656-296.24465099309407j
-23.3706475967232 + 36.5981643075380i,-23.370647595963828+36.59816430825918j
-23.3706475967232 - 36.5981643075380i,-23.370647595963828-36.59816430825918j
-3.24187375797263 + 11.8372994035577i,-3.2418737587147275+11.837299403250801j
-3.24187375797263 - 11.8372994035577i,-3.2418737587147275-11.837299403250801j
-6.058761709,-6.058761709399727+0j
-14.64949678,-14.649496777963854+0j
-31.61414496,-31.614144963513727+0j
-590.808941055371 + 8131.07445334770i,-590.8089410553603+8131.074453347716j
-590.808941055371 - 8131.07445334770i,-590.8089410553603-8131.074453347716j
-638.378473261279 + 7667.23020557248i,-638.3784732612671+7667.23020557247j
-638.378473261279 - 7667.23020557248i,-638.3784732612671-7667.23020557247j
-407.868884613377 + 296.112309167040i,-407.86888461349236+296.11230916696377j
-407.868884613377 - 296.112309167040i,-407.86888461349236-296.11230916696377j
-24.0635722684774 + 34.1333883269107i,-24.06357226776685+34.13338832752114j
-24.0635722684774 - 34.1333883269107i,-24.06357226776685-34.13338832752114j
-2.82992156561651 + 11.6071395258713i,-2.829921566317869+11.607139525632228j
-2.82992156561651 - 11.6071395258713i,-2.829921566317869-11.607139525632228j
-5.965552648,-5.9655526484189005+0j
-14.87441352,-14.87441352347957+0j
-31.61414356,-31.614143562314663+0j
-590.805689850295 + 8131.07349135017i,-590.8056898502833+8131.073491350183j
-590.805689850295 - 8131.07349135017i,-590.8056898502833-8131.073491350183j
-638.382171156856 + 7667.23179505739i,-638.382171156843+7667.231795057377j
-638.382171156856 - 7667.23179505739i,-638.382171156843-7667.231795057377j
-407.520226925898 + 295.980299799879i,-407.52022692599667+295.98029979981044j
-407.520226925898 - 295.980299799879i,-407.52022692599667-295.98029979981044j
-24.7877624832590 + 31.5447803350598i,-24.78776248261415+31.544780335558197j
-24.7877624832590 - 31.5447803350598i,-24.78776248261415-31.544780335558197j
-2.37234388847164 + 11.2800177453039i,-2.372343889113625+11.280017745132858j
-2.37234388847164 - 11.2800177453039i,-2.372343889113625-11.280017745132858j
-5.852314828,-5.852314828047983+0j
-15.15085013,-15.150850129917913+0j
-31.61414169,-31.614141694947186+0j
-590.802438613801 + 8131.07252940095i,-590.8024386137895+8131.072529400947j
-590.802438613801 - 8131.07252940095i,-590.8024386137895-8131.072529400947j
-638.385869083454 + 7667.23338449387i,-638.3858690834433+7667.233384493868j
-638.385869083454 - 7667.23338449387i,-638.3858690834433-7667.233384493868j
-407.170174507013 + 295.848632715166i,-407.170174507096+295.8486327151041j
-407.170174507013 - 295.848632715166i,-407.170174507096-295.8486327151041j
-25.5289953910979 + 28.8062835978549i,-25.528995390537+28.806283598243432j
-25.5289953910979 - 28.8062835978549i,-25.528995390537-28.806283598243432j
-1.87648701557453 + 10.8228106648749i,-1.8764870161387923+10.82281066476746j
-1.87648701557453 - 10.8228106648749i,-1.8764870161387923-10.82281066476746j
-5.710980551,-5.710980551035451+0j
-15.50064641,-15.500646407220193+0j
-31.61413908,-31.614139082352867+0j
-590.799187345891 + 8131.07156750004i,-590.7991873458813+8131.071567500048j
-590.799187345891 - 8131.07156750004i,-590.7991873458813-8131.071567500048j
-638.389567041072 + 7667.23497388193i,-638.3895670410595+7667.234973881926j
-638.389567041072 - 7667.23497388193i,-638.3895670410595-7667.234973881926j
-406.818717961130 + 295.717317941847i,-406.8187179611958+295.71731794179226j
-406.818717961130 - 295.717317941847i,-406.8187179611958-295.71731794179226j
-26.2602178988255 + 25.8688828198581i,-26.26021789836573+25.868882820145686j
-26.2602178988255 - 25.8688828198581i,-26.26021789836573-25.868882820145686j
-1.35737795367802 + 10.1930122534155i,-1.3573779541459523+10.193012253362639j
-1.35737795367802 - 10.1930122534155i,-1.3573779541459523-10.193012253362639j
-5.527901574,-5.527901574285434+0j
-15.96152212,-15.96152211981473+0j
-31.61413517,-31.61413516722286+0j
-590.795936046565 + 8131.07060564744i,-590.7959360465561+8131.070605647445j
-590.795936046565 - 8131.07060564744i,-590.7959360465561-8131.070605647445j
-638.393265029705 + 7667.23656322155i,-638.3932650296945+7667.236563221548j
-638.393265029705 - 7667.23656322155i,-638.3932650296945-7667.236563221548j
-406.465847854603 + 295.586365718522i,-406.465847854653+295.5863657184751j
-406.465847854603 - 295.586365718522i,-406.465847854653-295.5863657184751j
-26.9324278146722 + 22.6362234707955i,-26.93242781432604+22.63622347099411j
-26.9324278146722 - 22.6362234707955i,-26.93242781432604-22.63622347099411j
-0.840228751011906 + 9.33118780564045i,-0.8402287513688036+9.331187805628588j
-0.840228751011906 - 9.33118780564045i,-0.8402287513688036-9.331187805628588j
-5.277327188,-5.27732718856487+0j
-16.60682843,-16.6068284288433+0j
-31.61412865,-31.614128652014877+0j
-590.792684715830 + 8131.06964384317i,-590.7926847158187+8131.069643843162j
-590.792684715830 - 8131.06964384317i,-590.7926847158187-8131.069643843162j
-638.396963049356 + 7667.23815251274i,-638.3969630493425+7667.238152512734j
-638.396963049356 - 7667.23815251274i,-638.3969630493425-7667.238152512734j
-406.111554717502 + 295.455786497687i,-406.11155471753585+295.4557864976468j
-406.111554717502 - 295.455786497687i,-406.11155471753585-295.4557864976468j
-27.4442427949105 + 18.9005437570695i,-27.4442427946883+18.900543757194797j
-27.4442427949105 - 18.9005437570695i,-27.4442427946883-18.900543757194797j
-0.368535867267863 + 8.13575545679762i,-0.3685358675047763+8.135755456811266j
-0.368535867267863 - 8.13575545679762i,-0.3685358675047763-8.135755456811266j
-4.901339771,-4.9013397711148+0j
-17.61027754,-17.610277542725942+0j
-31.61411566,-31.61411565899576+0j
-590.789433353682 + 8131.06868208720i,-590.789433353671+8131.068682087201j
-590.789433353682 - 8131.06868208720i,-590.789433353671-8131.068682087201j
-638.400661100019 + 7667.23974175549i,-638.4006611000065+7667.239741755485j
-638.400661100019 - 7667.23974175549i,-638.4006611000065-7667.239741755485j
-405.755829045479 + 295.325590950045i,-405.755829045496+295.325590950012j
-405.755829045479 - 295.325590950045i,-405.755829045496-295.325590950012j
-0.0488772534942380 + 6.35895884215440i,-0.0488772536071844+6.358958842178221j
-0.0488772534942380 - 6.35895884215440i,-0.0488772536071844-6.358958842178221j
-4.215737399,-4.21573739865112+0j
-27.4699630516658 + 14.0822751044737i,-27.46996305157352+14.082275104539011j
-27.4699630516658 - 14.0822751044737i,-27.46996305157352-14.082275104539011j
-19.59435328,-19.594353278782325+0j
-31.61407698,-31.61407697647435+0j
-3.926416156,-3.926416156
-3.606631303,-3.606631303
-3.241873758,-3.241873759
-2.829921566,-2.829921566
-2.372343888,-2.372343889
-1.876487016,-1.876487016
-1.357377954,-1.357377954
-0.840228751,-0.840228751
-0.368535867,-0.368535868
-0.048877253,-0.048877254
0.072470736,0.072470736
0.072470348,0.072470348
0.07246996,0.07246996
0.072469572,0.072469572
0.072469183,0.072469183
0.072468795,0.072468795
0.072468407,0.072468407
0.072468019,0.072468019
0.045251894,0.045251894
0.007686134,0.007686134
-590.8186945,-590.8186945
-638.3673798,-638.3673798
-408.9065826,-408.9065826
-22.09670458,-22.09670458
-3.926416156,-3.926416156
-6.203978451,-6.203978452
-14.30401465,-14.30401465
-31.61414693,-31.61414693
8131.07734,8131.077339630158
7667.225437,7667.225436827175
296.5102937,296.5102937312824
41.2103722,41.21037220364508
12.10484899,12.104848985035728
0,0
0,0
0,0
1294.101151,1294.1011512646376
1220.276828,1220.2768280709615
47.19107892,47.19107892496342
6.558834443,6.558834442866958
1.926546551,1.9265465513493485
0,0
0,0
0,0
0.072470736,0.072470736
0.082972153,0.082972153
0.809560556,0.8095605559307962
0.472549052,0.4725490520176654
0.308541613,0.3085416131388099
1,1
1,1
1,1
8,8
9,9
10,10
11,11
0.184676327782114 + 0.0313755550282374i,0.18467632778211415+0.031375555028229044j
0.184665158485968 + 0.0313554508931351i,0.18466515848596773+0.03135545089314362j
0.256081571682236 - 0.0186597630415775i,0.25608157168223417-0.018659763041588354j
0.256076160814886 - 0.0186783008652027i,0.2560761608148888-0.018678300865191174j
0.18732264,0.18732264010635846
0.187308262,0.18730826212252336
0.256760507,0.2567605073059552
0.256756459,0.2567564586547014
8,8
9,9
10,10
11,11
0.200411203939654 + 0.0325879658427913i,0.20041120393965395+0.032587965842800916j
0.200424326580100 + 0.0326107748843830i,0.20042432658009993+0.03261077488437348j
0.246708348607383 - 0.0202788598848010i,0.24670834860738594-0.02027885988478901j
0.246713939920532 - 0.0202589063252650i,0.24671393992052965-0.020258906325276212j
0.20304341,0.2030434096007874
0.203060024,0.2030600239427885
0.247540383,0.24754038343432042
0.247544322,0.2475443221659649
8,8
9,9
12,12
13,13
0.116247531199342 + 0.00507649543639944i,0.11624753119934035+0.005076495436353893j
0.117314893727862 + 0.00480510805669059i,0.1173148937278566+0.0048051080566542j
0.385200154321751 + 0.00550772353043720i,0.3852001543216935+0.005507723530304617j
0.386767830764103 + 0.00518026374666986i,0.3867678307640053+0.005180263746358953j
0.116358323,0.11635832293332923
0.117413259,0.11741325885015887
0.385239528,0.38523952796661814
0.386802521,0.38680252073425797
1,1
2,2
6,6
7,7
0.357366478752813 - 0.325219881533507i,0.3573664787738541-0.32521988153277154j
0.541349689302038 - 0.0231490997644362i,0.5413496893109466-0.023149099756161935j
0.116277889331327 + 0.198812046641803i,0.11627788930941302+0.19881204663961166j
0.0551382787139431 + 0.0847468355167094i,0.05513827870525646+0.08474683551696151j
0.483196411,0.48319641088838133
0.541844412,0.5418444121116127
0.23031886,0.23031886034644064
0.101105173,0.10110517251217896
1,1
2,2
4,4
5,5
6,6
7,7
0.136907105431501 + 0.202475963652789i,0.13690710541075343+0.2024759636663412j
-0.0791591869820404 + 0.0669265334290307i,-0.07915918699498796+0.06692653341650553j
0.476348886655519 - 0.0656997143318619i,0.47634888667179326-0.06569971435232312j
0.100304165183029 - 0.0695111685675407i,0.10030416517112715-0.06951116857773973j
0.331397102438724 - 0.0998153047818259i,0.3313971024714164-0.09981530475268688j
0.0714767867503888 - 0.0821526600072006i,0.0714767867524191-0.08215266000658931j
0.244417821,0.2444178213113043
0.103659721,0.10365972101476109
0.48085831,0.48085831000351215
0.122035766,0.12203576569071753
0.34610278,0.34610278038369213
0.108894401,0.10889440109853699
4,4
5,5
7,7
0.240383158672415 + 2.81595293137982e-17i,0.24038315866207957+1.1210287823653695e-19j
1.11266026597839 + 7.02663558377596e-18i,1.1126602660916416+1.4543249368658213e-17j
-0.364518540116116 - 5.37795140458850e-17i,-0.36451854023121016-2.5565770224539904e-17j
0.240383159,0.24038315866207957
1.112660266,1.1126602660916416
0.36451854,0.36451854023121016
4,4
5,5
6,6
7,7
-0.110790281419153 - 1.55489118907345e-17i,-0.11079028143934466-1.1932821300972418e-17j
-0.279507948203962 + 2.15426084713834e-18i,-0.2795079482928256+9.490845020194277e-18j
0.306962490873229 + 2.59221498283492e-18i,0.30696249086669847-2.3683994403629006e-17j
1.12156524892908 + 4.78176488799155e-17i,1.1215652490574697+7.722446134374684e-17j
0.110790281,0.11079028143934466
0.279507948,0.2795079482928256
0.306962491,0.30696249086669847
1.121565249,1.1215652490574697
3,3
6,6
1.13406228148526 - 1.09044845708180e-17i,1.1340622814909074-4.030979449896589e-18j
-0.131388411349394 + 1.74705029098919e-18i,-0.13138841135495335+6.765350919834e-19j
1.134062281,1.1340622814909074
0.131388411,0.13138841135495335
-590.8154434,-590.8154434
-638.3710776,-638.3710776
-408.5620532,-408.5620532
-22.71482776,-22.71482775
-3.606631303,-3.606631303
-6.137083015,-6.137083016
-14.46239986,-14.46239986
-31.61414605,-31.61414605
8131.076377,8131.076377487717
7667.227026,7667.227026457356
296.3773157,296.37731565611307
38.95393903,38.95393903551264
11.99654442,11.996544421136308
0,0
0,0
0,0
1294.100998,1294.100998134912
1220.277081,1220.2770810684624
47.16991481,47.16991480697738
6.19971195,6.1997119504021745
1.909309345,1.9093093446453437
0,0
0,0
0,0
0.072470348,0.072470348
0.082972613,0.082972613
0.80945052,0.8094505203414148
0.503733631,0.5037336307664771
0.287909412,0.28790941202814435
1,1
1,1
1,1
8,8
9,9
10,10
11,11
0.184676138668162 + 0.0313758870278764i,0.18467613866815927+0.03137588702786679j
0.184664991945827 + 0.0313554864003151i,0.1846649919458296+0.03135548640032503j
0.256081356053952 - 0.0186595347707446i,0.2560813560539457-0.018659534770755777j
0.256076443468470 - 0.0186785784866728i,0.2560764434684763-0.018678578486661112j
0.187322509,0.1873225092725555
0.187308104,0.18730810387635202
0.256760276,0.25676027565861653
0.256756761,0.2567567607556734
8,8
9,9
10,10
11,11
0.200411400139512 + 0.0325876474426664i,0.2004114001395146+0.03258764744267744j
0.200424509222333 + 0.0326106254229849i,0.2004245092223306+0.032610625422974056j
0.246708545290171 - 0.0202791219913005i,0.2467085452901773-0.020279121991288226j
0.246713666549842 - 0.0202586250124566i,0.2467136665498355-0.020258625012468216j
0.203043552,0.20304355215502137
0.20306018,0.2030601802114083
0.247540601,0.24754060092827804
0.247544027,0.2475440266899188
8,8
9,9
12,12
13,13
0.116471914258709 + 0.00511830372395874i,0.1164719142587087+0.005118303723917962j
0.117426707412912 + 0.00488679345971488i,0.1174267074129077+0.004886793459680858j
0.385726926156120 + 0.00569268562456343i,0.3857269261560674+0.005692685624441785j
0.387142155781031 + 0.00540062844921142i,0.38714215578094635+0.005400628448927784j
0.116584321,0.11658432074725256
