Matlab,Python
0+0i,0
0.1+0i,0.1
0.2+0i,0.2
0.3+0i,0.3
0.4+0i,0.4
0.5+0i,0.5
0.6+0i,0.6
0.7+0i,0.7
0.8+0i,0.8
0.9+0i,0.9
-664.310702866181+6821.51511311165i,-664.31070286618+6821.515113111646j
-664.310702866181-6821.51511311165i,-664.31070286618-6821.515113111646j
-717.902500050919+6395.31582341571i,-717.902500050919+6395.315823415712j
-717.902500050919-6395.31582341571i,-717.902500050919-6395.315823415712j
-628.318530717965+0i,-628.3185307179671+0j
-573.387044521821+0i,-573.3870445218201+0j
-266.490052928374+331.627316854269i,-266.4900529283736+331.62731685427025j
-266.490052928374-331.627316854269i,-266.4900529283736-331.62731685427025j
-105.196968653568+0i,-105.19696865356767+0j
-18.5808824960045+23.8881075046672i,-18.580882496004087+23.88810750466678j
-18.5808824960045-23.8881075046672i,-18.580882496004087-23.88810750466678j
-31.6903256531424+0i,-31.690325653142406+0j
-0.309644595597376+6.84832637531372i,-0.3096445955966934+6.848326375314442j
-0.309644595597376-6.84832637531372i,-0.3096445955966934-6.848326375314442j
-6.57013270965709+4.54050901635259i,-6.5701327096574795+4.540509016352487j
-6.57013270965709-4.54050901635259i,-6.5701327096574795-4.540509016352487j
-3.08710590194758+3.57913886845581i,-3.0871059019481253+3.5791388684556855j
-3.08710590194758-3.57913886845581i,-3.0871059019481253-3.5791388684556855j
-0.592309481720335+0i,-0.5923094817203306+0j
-6.13538764475689+0i,-6.135387644756379+0j
-664.311678133276+6821.52444042228i,-664.3116781332733+6821.5244404222385j
-664.311678133276-6821.52444042228i,-664.3116781332733-6821.5244404222385j
-717.90058865288+6395.30586560443i,-717.9005886528753+6395.305865604474j
-717.90058865288-6395.30586560443i,-717.9005886528753-6395.305865604474j
-628.318530717967+0i,-628.3185307179647+0j
-573.38704452182+0i,-573.387044521823+0j
-266.510891106493+331.617896783203i,-266.510891106511+331.6178967831369j
-266.510891106493-331.617896783203i,-266.510891106511-331.6178967831369j
-105.196968653567+0i,-105.19696865356683+0j
-18.5377565319974+24.1886822429973i,-18.53775653193319+24.18868224320259j
-18.5377565319974-24.1886822429973i,-18.53775653193319-24.18868224320259j
-31.6975185244406+0i,-31.697518524446863+0j
-0.347020788712732+6.85458722160316i,-0.34702078877698445+6.854587221607594j
-0.347020788712732-6.85458722160316i,-0.34702078877698445-6.854587221607594j
-6.5416296508383+4.53610467415531i,-6.541629650827032+4.536104674190364j
-6.5416296508383-4.53610467415531i,-6.541629650827032-4.536104674190364j
-3.0926456743108+3.56358815976379i,-3.0926456743036006+3.5635881597645005j
-3.0926456743108-3.56358815976379i,-3.0926456743036006-3.5635881597645005j
-0.594212218189811+0i,-0.5942122181894575+0j
-6.14391405733742+0i,-6.143914057340821+0j
-664.311953603692+6821.53387467149i,-664.3119536036859+6821.533874671425j
-664.311953603692-6821.53387467149i,-664.3119536036859-6821.533874671425j
-717.897535011903+6395.2960553934i,-717.8975350118928+6395.296055393473j
-717.897535011903-6395.2960553934i,-717.8975350118928-6395.296055393473j
-628.318530717958+0i,-628.3185307179555+0j
-573.387044521828+0i,-573.3870445218323+0j
-266.533391900084+331.600762785903i,-266.5333919001499+331.6007627857376j
-266.533391900084-331.600762785903i,-266.5333919001499-331.6007627857376j
-105.196968653568+0i,-105.19696865356677+0j
-18.4941139867231+24.487474411125i,-18.49411398646474+24.48747441183149j
-18.4941139867231-24.487474411125i,-18.49411398646474-24.48747441183149j
-31.7053653259026+0i,-31.70536532592543+0j
-0.38410113284965+6.86103706497525i,-0.38410113310909727+6.861037064988212j
-0.38410113284965-6.86103706497525i,-0.38410113310909727-6.861037064988212j
-6.51352901455955+4.53190589431075i,-6.5135290145294835+4.531905894470741j
-6.51352901455955-4.53190589431075i,-6.5135290145294835-4.531905894470741j
-3.09801843562413+3.54789113516303i,-3.0980184355878198+3.5478911351747855j
-3.09801843562413-3.54789113516303i,-3.0980184355878198-3.5478911351747855j
-0.597502723872179+0i,-0.5975027238690439+0j
-6.15191165633444+0i,-6.1519116563431515+0j
-664.311573782708+6821.54336224418i,-664.3115737827075+6821.543362244184j
-664.311573782708-6821.54336224418i,-664.3115737827075-6821.543362244184j
-717.893380087475+6395.28645723583i,-717.8933800874756+6395.286457235836j
-717.893380087475-6395.28645723583i,-717.8933800874756-6395.286457235836j
-628.318530717952+0i,-628.3185307179557+0j
-573.387044521834+0i,-573.3870445218289+0j
-266.557616238642+331.57599431698i,-266.5576162386419+331.57599431697855j
-266.557616238642-331.57599431698i,-266.5576162386419-331.57599431697855j
-105.196968653567+0i,-105.19696865356698+0j
-18.4498882251214+24.784571712963i,-18.44988822511935+24.784571712965413j
-18.4498882251214-24.784571712963i,-18.44988822511935-24.784571712965413j
-31.7138130083103+0i,-31.713813008310286+0j
-0.420906288311655+6.86761622309558i,-0.42090628831296806+6.867616223096913j
-0.420906288311655-6.86761622309558i,-0.42090628831296806-6.867616223096913j
-6.48583386808621+4.52786200130225i,-6.48583386808653+4.527862001301896j
-6.48583386808621-4.52786200130225i,-6.48583386808653-4.527862001301896j
-0.602121944849818+0i,-0.6021219448499128+0j
-3.10319510804339+3.53202875541601i,-3.1031951080433866+3.5320287554164684j
-3.10319510804339-3.53202875541601i,-3.1031951080433866-3.5320287554164684j
-6.15934372703986+0i,-6.159343727039456+0j
-664.310590172362+6821.55285811304i,-664.3105901723616+6821.552858113053j
-664.310590172362-6821.55285811304i,-664.3105901723616-6821.552858113053j
-717.888173887168+6395.27712755966i,-717.8881738871657+6395.2771275596515j
-717.888173887168-6395.27712755966i,-717.8881738871657-6395.2771275596515j
-628.318530717954+0i,-628.3185307179617+0j
-573.387044521832+0i,-573.387044521824+0j
-266.583617699939+331.543675762791i,-266.5836176999403+331.54367576279253j
-266.583617699939-331.543675762791i,-266.5836176999403-331.54367576279253j
-105.196968653568+0i,-105.19696865356619+0j
-18.4050018708368+25.080053953791i,-18.40500187083097+25.080053953800157j
-18.4050018708368-25.080053953791i,-18.40500187083097-25.080053953800157j
-31.7228096563565+0i,-31.722809656356837+0j
-0.457449154956735+6.87427429189242i,-0.4574491549625904+6.874274291892525j
-0.457449154956735-6.87427429189242i,-0.4574491549625904-6.874274291892525j
-6.45854570350368+4.52393127998556i,-6.458545703503497+4.523931279989457j
-6.45854570350368-4.52393127998556i,-6.458545703503497-4.523931279989457j
-0.608004186741874+0i,-0.6080041867414279+0j
-3.10815510420688+3.51598439517766i,-3.1081551042058484+3.5159843951780188j
-3.10815510420688-3.51598439517766i,-3.1081551042058484-3.5159843951780188j
-6.16618484793662+0i,-6.166184847936365+0j
-664.309058838311+6821.56232624283i,-664.3090588383038+6821.562326243092j
-664.309058838311-6821.56232624283i,-664.3090588383038-6821.562326243092j
-717.881972872413+6395.26811394277i,-717.8819728724146+6395.268113942503j
-717.881972872413-6395.26811394277i,-717.8819728724146-6395.268113942503j
-628.318530717952+0i,-628.3185307179572+0j
-573.387044521837+0i,-573.3870445218314+0j
-266.611442254595+331.503893574574i,-266.6114422546468+331.50389357480265j
-266.611442254595-331.503893574574i,-266.6114422546468-331.50389357480265j
-105.196968653566+0i,-105.1969686535673+0j
-18.3593701439296+25.3739935656927i,-18.359370143619525+25.373993566146208j
-18.3593701439296-25.3739935656927i,-18.359370143619525-25.373993566146208j
-31.7323055391838+0i,-31.732305539198844+0j
-0.493736098290497+6.8809704531266i,-0.49373609861623+6.880970453124238j
-0.493736098290497-6.8809704531266i,-0.49373609861623-6.880970453124238j
-6.43166429838858+4.52008092501137i,-6.431664298403391+4.520080925270728j
-6.43166429838858-4.52008092501137i,-6.431664298403391-4.520080925270728j
-0.615079067599209+0i,-0.6150790675769549+0j
-3.11288589445508+3.49974403464107i,-3.1128858943858786+3.4997440346929944j
-3.11288589445508-3.49974403464107i,-3.1128858943858786-3.4997440346929944j
-6.17242046942923+0i,-6.172420469424565+0j
-664.307038143858+6821.57173946057i,-664.3070381437815+6821.571739463603j
-664.307038143858-6821.57173946057i,-664.3070381437815-6821.571739463603j
-717.874837460942+6395.25945488484i,-717.8748374609252+6395.259454881837j
-717.874837460942-6395.25945488484i,-717.8748374609252-6395.259454881837j
-628.318530717957+0i,-628.3185307179567+0j
-573.387044521831+0i,-573.3870445218307+0j
-266.641128469092+331.456733769247i,-266.64112846989474+331.4567337715983j
-266.641128469092-331.456733769247i,-266.64112846989474-331.4567337715983j
-105.196968653567+0i,-105.19696865356622+0j
-18.3129040421518+25.6664562765156i,-18.312904037686117+25.666456284007065j
-18.3129040421518-25.6664562765156i,-18.312904037686117-25.666456284007065j
-31.7422538677243+0i,-31.74225386796375+0j
-0.52976826897988+6.8876731805152i,-0.5297682736222468+6.887673180486453j
-0.52976826897988-6.8876731805152i,-0.5297682736222468-6.887673180486453j
-6.40518771176471+4.51628656324713i,-6.405187711885746+4.516286566809088j
-6.40518771176471-4.51628656324713i,-6.405187711885746-4.516286566809088j
-0.623273360146037+0i,-0.6232733598339631+0j
-3.11738222919035+3.48329629201216i,-3.11738222823955+3.483296292661103j
-3.11738222919035-3.48329629201216i,-3.11738222823955-3.483296292661103j
-6.17804599714689+0i,-6.178045997109966+0j
-664.304586776699+6821.5810789074i,-664.3045867766982+6821.581078907363j
-664.304586776699-6821.5810789074i,-664.3045867766982-6821.581078907363j
-717.866829780537+6395.25118007262i,-717.8668297805352+6395.251180072655j
-717.866829780537-6395.25118007262i,-717.8668297805352-6395.251180072655j
-628.318530717971+0i,-628.3185307179652+0j
-573.387044521816+0i,-573.3870445218234+0j
-266.672708049006+331.40227989054i,-266.67270804900517+331.40227989050555j
-266.672708049006-331.40227989054i,-266.67270804900517-331.40227989050555j
-105.196968653567+0i,-105.19696865356612+0j
-18.2655131719309+25.9575018531871i,-18.265513171946075+25.957501853182873j
-18.2655131719309-25.9575018531871i,-18.265513171946075-25.957501853182873j
-31.7526112765321+0i,-31.752611276532075+0j
-0.565542898944094+6.89435949816227i,-0.5655428989268128+6.894359498162617j
-0.565542898944094-6.89435949816227i,-0.5655428989268128-6.894359498162617j
-6.37911238771795+4.51253146312088i,-6.379112387714985+4.512531463104917j
-6.37911238771795-4.51253146312088i,-6.379112387714985-4.512531463104917j
-0.63251264569732+0i,-0.632512645700146+0j
-3.12164514102901+3.46663233139152i,-3.121645141033519+3.466632331387345j
-3.12164514102901-3.46663233139152i,-3.121645141033519-3.466632331387345j
-6.18306554302353+0i,-6.183065543024372+0j
-664.301762137696+6821.59033320002i,-664.3017621377005+6821.590333199774j
-664.301762137696-6821.59033320002i,-664.3017621377005-6821.590333199774j
-717.858011770135+6395.24331101321i,-717.858011770133+6395.243311013445j
-717.858011770135-6395.24331101321i,-717.858011770133-6395.243311013445j
-628.318530717979+0i,-628.3185307179531+0j
-573.387044521809+0i,-573.3870445218338+0j
-266.706206601817+331.340611460133i,-266.7062066017584+331.34061145992104j
-266.706206601817-331.340611460133i,-266.7062066017584-331.34061145992104j
-105.196968653568+0i,-105.19696865356697+0j
-18.217108111736+26.247184859818i,-18.217108112082485+26.247184859239617j
-18.217108111736-26.247184859818i,-18.217108112082485-26.247184859239617j
-31.7633380672072+0i,-31.763338067189824+0j
-0.60105448944117+6.90101395047506i,-0.6010544890803999+6.901013950480802j
-0.60105448944117-6.90101395047506i,-0.6010544890803999-6.901013950480802j
-6.35343333535504+4.50880554922988i,-6.35343333534189+4.508805548951959j
-6.35343333535504-4.50880554922988i,-6.35343333534189-4.508805548951959j
-0.642722732373967+0i,-0.64272273240439+0j
-3.12568084216897+3.44974568277481i,-3.1256808422441917+3.4497456827237007j
-3.12568084216897-3.44974568277481i,-3.1256808422441917-3.4497456827237007j
-6.18749050069557+0i,-6.187490500698752+0j
-664.298619111749+6821.59949742412i,-664.2986191117902+6821.599497423061j
-664.298619111749-6821.59949742412i,-664.2986191117902-6821.599497423061j
-717.848443669835+6395.23586190833i,-717.8484436698575+6395.235861909354j
-717.848443669835-6395.23586190833i,-717.8484436698575-6395.235861909354j
-628.318530717967+0i,-628.3185307179606+0j
-573.38704452182+0i,-573.3870445218244+0j
-266.741644511449+331.271802899153i,-266.74164451083357+331.2718028986724j
-266.741644511449-331.271802899153i,-266.74164451083357-331.2718028986724j
-105.196968653567+0i,-105.19696865356768+0j
-18.1676022607922+26.5355553848356i,-18.167602263751693+26.535555378864274j
-18.1676022607922-26.5355553848356i,-18.167602263751693-26.535555378864274j
-31.7743982601429+0i,-31.77439825995459+0j
-0.636295839623702+6.90762742739142i,-0.6362958366232376+6.9076274274227j
-0.636295839623702-6.90762742739142i,-0.6362958366232376-6.9076274274227j
-6.32814435481544+4.50510432938877i,-6.32814435481666+4.505104327226603j
-6.32814435481544-4.50510432938877i,-6.32814435481666-4.505104327226603j
-0.653830817515252+0i,-0.653830817719216+0j
-3.12949961222755+3.43263200805631i,-3.1294996128080896+3.4326320077333783j
-3.12949961222755-3.43263200805631i,-3.1294996128080896-3.4326320077333783j
-6.19133807833513+0i,-6.191338078340202+0j
-0.309644595597376+0i,-0.309644596
-0.347020788712732+0i,-0.347020789
-0.38410113284965+0i,-0.384101133
-0.420906288311655+0i,-0.420906288
-0.457449154956735+0i,-0.457449155
-0.493736098290497+0i,-0.493736099
-0.52976826897988+0i,-0.529768274
-0.565542898944094+0i,-0.565542899
-0.60105448944117+0i,-0.601054489
