Matlab,Python
6.28318530717959+0i,6.283185307
5.65486677646163+0i,5.654866776
5.02654824574367+0i,5.026548246
4.39822971502571+0i,4.398229715
3.76991118430775+0i,3.769911184
3.14159265358979+0i,3.141592654
2.51327412287183+0i,2.513274123
1.88495559215388+0i,1.884955592
1.25663706143592+0i,1.256637061
0.628318530717959+0i,0.628318531
-74.9175712194844+376.13934743942i,-74.91757121949193+376.1393474394221j
-74.9175712194844-376.13934743942i,-74.91757121949193-376.1393474394221j
-2.86562370163391+24.0300635852209i,-2.8656237016276545+24.030063585168694j
-2.86562370163391-24.0300635852209i,-2.8656237016276545-24.030063585168694j
-7.77235615058988+0i,-7.772356150615905+0j
-74.9670151968502+376.224295753805i,-74.96701519685686+376.2242957538076j
-74.9670151968502-376.224295753805i,-74.96701519685686-376.2242957538076j
-2.57773134250524+22.8078357208684i,-2.57773134249957+22.807835720818698j
-2.57773134250524-22.8078357208684i,-2.57773134249957-22.807835720818698j
-6.99502305206402+0i,-6.995023052087482+0j
-75.0161516690178+376.309298911186i,-75.01615166902373+376.30929891119047j
-75.0161516690178-376.309298911186i,-75.01615166902373-376.30929891119047j
-2.29013448452741+21.5136885309414i,-2.290134484522339+21.51368853089445j
-2.29013448452741-21.5136885309414i,-2.290134484522339-21.51368853089445j
-6.21771396163298+0i,-6.217713961653881+0j
-75.064981042448+376.394355397566i,-75.06498104245324+376.3943553975709j
-75.064981042448-376.394355397566i,-75.06498104245324-376.3943553975709j
-2.00283313036304+20.1337711195847i,-2.002833130358587+20.13377111954065j
-2.00283313036304-20.1337711195847i,-2.002833130358587-20.13377111954065j
-5.44042806104961+0i,-5.440428061067917+0j
-75.1135037315807+376.479463706494i,-75.11350373158513+376.47946370649976j
-75.1135037315807-376.479463706494i,-75.11350373158513-376.47946370649976j
-1.71582729195991+18.6490674861106i,-1.7158272919560682+18.649067486069686j
-1.71582729195991-18.6490674861106i,-1.7158272919560682-18.649067486069686j
-4.6631644975389+0i,-4.663164497554634+0j
-75.161720158739+376.5646223391i,-75.16172015874278+376.56462233910685j
-75.161720158739-376.5646223391i,-75.16172015874278-376.56462233910685j
-1.42911699081897+17.0322119009706i,-1.4291169908157653+17.032211900933188j
-1.42911699081897-17.0322119009706i,-1.4291169908157653-17.032211900933188j
-3.88592238345247+0i,-3.885922383465588+0j
-75.2096307540351+376.649829804121i,-75.20963075403806+376.64982980412873j
-75.2096307540351-376.649829804121i,-75.20963075403806-376.64982980412873j
-1.14270225826659+15.2412212256166i,-1.1427022582640112+15.241221225583056j
-1.14270225826659-15.2412212256166i,-1.1427022582640112-15.241221225583056j
-3.10870079591341+0i,-3.1087007959239243+0j
-75.2572359552751+376.735084617926i,-75.25723595527737+376.7350846179354j
-75.2572359552751-376.735084617926i,-75.25723595527737-376.7350846179354j
-0.856583135731453+13.2054525730047i,-0.8565831357295169+13.205452572975565j
-0.856583135731453-13.2054525730047i,-0.8565831357295169-13.205452572975565j
-2.3314987764519+0i,-2.3314987764597994+0j
-75.3045362078653+376.820385304545i,-75.30453620786678+376.8203853045555j
-75.3045362078653-376.820385304545i,-75.30453620786678-376.8203853045555j
-0.570759675026223+10.7872246320911i,-0.5707596750249225+10.787224632067286j
-0.570759675026223-10.7872246320911i,-0.5707596750249225-10.787224632067286j
-1.5543153306305+0i,-1.5543153306357846+0j
-75.3515319647172+376.905730395689i,-75.35153196471796+376.90573039569995j
-75.3515319647172-376.905730395689i,-75.35153196471796-376.90573039569995j
-0.285231938634005+7.63125488998759i,-0.2852319386333506+7.631254889970678j
-0.285231938634005-7.63125488998759i,-0.2852319386333506-7.631254889970678j
-0.777149427659267+0i,-0.7771494276619131+0j
-2.86562370163391+0i,-2.865623702
-2.57773134250524+0i,-2.577731342
-2.29013448452741+0i,-2.290134485
-2.00283313036304+0i,-2.00283313
-1.71582729195991+0i,-1.715827292
-1.42911699081897+0i,-1.429116991
-1.14270225826659+0i,-1.142702258
-0.856583135731453+0i,-0.856583136
-0.570759675026223+0i,-0.570759675
-0.285231938634005+0i,-0.285231939
0.118412609767126+0i,0.11841261
0.112304569853484+0i,0.11230457
0.105852060268697+0i,0.10585206
0.09898774103635+0i,0.098987741
0.0916190978149408+0i,0.091619098
0.0836129021275711+0i,0.083612902
0.0747646174169951+0i,0.074764617
0.0647298323591231+0i,0.064729832
0.052836798617236+0i,0.052836799
0.03735072580918+0i,0.037350726
-74.9175712194844+0i,-74.91757122
-2.86562370163391+0i,-2.865623702
-7.77235615058988+0i,-7.772356151
376.13934743942+0i,376.1393474
24.0300635852209+0i,24.03006359
0+0i,0
59.8644364363435+0i,59.86443644
3.82450340240047+0i,3.824503402
0+0i,0
0.195338127613522+0i,0.195338128
0.118412609767126+0i,0.11841261
1+0i,1
4+0i,4
5+0i,5
0.502085574845078-0.000142974696023611i,0.5020855748450663-0.00014297469602902844j
0.502204585090734+0.000247719235612795i,0.5022045850907529+0.0002477192355831155j
0.50208559520193+0i,0.502085595
0.50220464618617+0i,0.502204646
1+0i,1
2+0i,2
0.501925833395646-0.0654612220876196i,0.5019258333956115-0.06546122208785192j
0.501802544552181+0.0594588054975716i,0.5018025445521781+0.059458805497657405j
0.506176563885685+0i,0.506176564
0.505312916191781+0i,0.505312916
