Index,Percentage Difference (%),Matlab,Python
0,0.0,(0.1+0j),(0.1+0j)
1,0.0,(0.09+0j),(0.09+0j)
2,0.0,(0.08+0j),(0.08+0j)
3,0.0,(0.07+0j),(0.07+0j)
4,0.0,(0.06+0j),(0.06+0j)
5,0.0,(0.05+0j),(0.05+0j)
6,1.7347234759768074e-14,(0.04+0j),(0.039999999999999994+0j)
7,0.0,(0.03+0j),(0.03+0j)
8,1.7347234759768068e-14,(0.02+0j),(0.020000000000000004+0j)
9,0.0,(0.01+0j),(0.01+0j)
10,1.4379134584729266e-08,(-6.203978451+0j),(-6.203978451892079+0j)
11,1.9693150611438728e-08,(-14.30401465+0j),(-14.30401465281691+0j)
12,1.2141067807045222e-08,(-31.61414693+0j),(-31.614146926161705+0j)
13,1.0802010942369357e-08,(-6.137083015+0j),(-6.137083015662928+0j)
14,2.7997100678223756e-08,(-14.46239986+0j),(-14.462399855950947+0j)
15,1.1810993416863033e-08,(-31.61414605+0j),(-31.614146053733943+0j)
16,6.597509218993357e-09,(-6.058761709+0j),(-6.058761709399727+0j)
17,1.3899081348447256e-08,(-14.64949678+0j),(-14.649496777963854+0j)
18,1.1114411612712739e-08,(-31.61414496+0j),(-31.614144963513727+0j)
19,7.0219893205217e-09,(-5.965552648+0j),(-5.9655526484189005+0j)
20,2.3392992298457817e-08,(-14.87441352+0j),(-14.87441352347957+0j)
21,7.321609113131285e-09,(-31.61414356+0j),(-31.614143562314663+0j)
22,8.198969528452521e-10,(-5.852314828+0j),(-5.852314828047983+0j)
23,5.417994713260842e-10,(-15.15085013+0j),(-15.150850129917913+0j)
24,1.564864806476966e-08,(-31.61414169+0j),(-31.614141694947186+0j)
25,6.207627797999215e-10,(-5.710980551+0j),(-5.710980551035451+0j)
26,1.7933488280712253e-08,(-15.50064641+0j),(-15.500646407220193+0j)
27,7.4424495323397195e-09,(-31.61413908+0j),(-31.614139082352867+0j)
28,5.1635126803663314e-09,(-5.527901574+0j),(-5.527901574285434+0j)
29,1.160731816451867e-09,(-15.96152212+0j),(-15.96152211981473+0j)
30,8.78449483767933e-09,(-31.61413517+0j),(-31.61413516722286+0j)
31,1.0703712475209763e-08,(-5.277327188+0j),(-5.27732718856487+0j)
32,6.965204884768644e-09,(-16.60682843+0j),(-16.6068284288433+0j)
33,6.373338325709863e-09,(-31.61412865+0j),(-31.614128652014877+0j)
34,2.3422111227505e-09,(-4.901339771+0j),(-4.9013397711148+0j)
35,1.54792785555807e-08,(-17.61027754+0j),(-17.610277542725942+0j)
36,3.1765508830783154e-09,(-31.61411566+0j),(-31.61411565899576+0j)
37,8.275658632558106e-09,(-4.215737399+0j),(-4.21573739865112+0j)
38,6.214417145990711e-09,(-19.59435328+0j),(-19.594353278782325+0j)
39,1.1152149431477697e-08,(-31.61407698+0j),(-31.61407697647435+0j)
40,0.0,(-3.926416156+0j),(-3.926416156+0j)
41,0.0,(-3.606631303+0j),(-3.606631303+0j)
42,3.084636100090049e-08,(-3.241873758+0j),(-3.241873759+0j)
43,0.0,(-2.829921566+0j),(-2.829921566+0j)
44,4.2152408324438034e-08,(-2.372343888+0j),(-2.372343889+0j)
45,0.0,(-1.876487016+0j),(-1.876487016+0j)
46,0.0,(-1.357377954+0j),(-1.357377954+0j)
47,0.0,(-0.840228751+0j),(-0.840228751+0j)
50,0.0,(0.072470736+0j),(0.072470736+0j)
51,0.0,(0.072470348+0j),(0.072470348+0j)
52,0.0,(0.07246996+0j),(0.07246996+0j)
53,0.0,(0.072469572+0j),(0.072469572+0j)
54,0.0,(0.072469183+0j),(0.072469183+0j)
55,0.0,(0.072468795+0j),(0.072468795+0j)
56,0.0,(0.072468407+0j),(0.072468407+0j)
57,0.0,(0.072468019+0j),(0.072468019+0j)
58,0.0,(0.045251894+0j),(0.045251894+0j)
59,0.0,(0.007686134+0j),(0.007686134+0j)
60,0.0,(-590.8186945+0j),(-590.8186945+0j)
61,0.0,(-638.3673798+0j),(-638.3673798+0j)
62,0.0,(-408.9065826+0j),(-408.9065826+0j)
63,0.0,(-22.09670458+0j),(-22.09670458+0j)
64,0.0,(-3.926416156+0j),(-3.926416156+0j)
65,1.6118690459000395e-08,(-6.203978451+0j),(-6.203978452+0j)
66,0.0,(-14.30401465+0j),(-14.30401465+0j)
67,0.0,(-31.61414693+0j),(-31.61414693+0j)
68,4.548492869345447e-09,(8131.07734+0j),(8131.077339630158+0j)
69,2.254073695067549e-09,(7667.225437+0j),(7667.225436827175+0j)
70,1.0550194037443246e-08,(296.5102937+0j),(296.5102937312824+0j)
71,8.845047822355634e-09,(41.2103722+0j),(41.21037220364508+0j)
72,4.101061115020929e-08,(12.10484899+0j),(12.104848985035728+0j)
73,0.0,0j,0j
74,0.0,0j,0j
75,0.0,0j,0j
76,2.0449521440632264e-08,(1294.101151+0j),(1294.1011512646376+0j)
77,5.815197296720765e-09,(1220.276828+0j),(1220.2768280709615+0j)
78,1.0517704265893964e-08,(47.19107892+0j),(47.19107892496342+0j)
79,2.028440007157999e-09,(6.558834443+0j),(6.558834442866958+0j)
80,1.813340818965788e-08,(1.926546551+0j),(1.9265465513493485+0j)
81,0.0,0j,0j
82,0.0,0j,0j
83,0.0,0j,0j
84,0.0,(0.072470736+0j),(0.072470736+0j)
85,0.0,(0.082972153+0j),(0.082972153+0j)
86,8.548310972987014e-09,(0.809560556+0j),(0.8095605559307962+0j)
87,3.738314380777599e-09,(0.472549052+0j),(0.4725490520176654+0j)
88,4.498903944641671e-08,(0.308541613+0j),(0.3085416131388099+0j)
89,0.0,(1+0j),(1+0j)
90,0.0,(1+0j),(1+0j)
91,0.0,(1+0j),(1+0j)
92,0.0,(8+0j),(8+0j)
93,0.0,(9+0j),(9+0j)
94,0.0,(10+0j),(10+0j)
95,0.0,(11+0j),(11+0j)
96,5.677821420566167e-08,(0.18732264+0j),(0.18732264010635846+0j)
97,6.541267919869723e-08,(0.187308262+0j),(0.18730826212252336+0j)
100,0.0,(8+0j),(8+0j)
101,0.0,(9+0j),(9+0j)
102,0.0,(10+0j),(10+0j)
103,0.0,(11+0j),(11+0j)
105,2.817468066126204e-08,(0.203060024+0j),(0.2030600239427885+0j)
107,6.704451119329336e-08,(0.247544322+0j),(0.2475443221659649+0j)
108,0.0,(8+0j),(8+0j)
109,0.0,(9+0j),(9+0j)
110,0.0,(12+0j),(12+0j)
111,0.0,(13+0j),(13+0j)
112,5.7297805975766036e-08,(0.116358323+0j),(0.11635832293332923+0j)
114,8.665220054720897e-09,(0.385239528+0j),(0.38523952796661814+0j)
115,6.870225118723875e-08,(0.386802521+0j),(0.38680252073425797+0j)
116,0.0,(1+0j),(1+0j)
117,0.0,(2+0j),(2+0j)
118,0.0,(6+0j),(6+0j)
119,0.0,(7+0j),(7+0j)
120,2.3100059568340844e-08,(0.483196411+0j),(0.48319641088838133+0j)
121,2.059866570249246e-08,(0.541844412+0j),(0.5418444121116127+0j)
124,0.0,(1+0j),(1+0j)
125,0.0,(2+0j),(2+0j)
126,0.0,(4+0j),(4+0j)
127,0.0,(5+0j),(5+0j)
128,0.0,(6+0j),(6+0j)
129,0.0,(7+0j),(7+0j)
131,1.423995258770092e-08,(0.103659721+0j),(0.10365972101476109+0j)
132,7.303887557308983e-10,(0.48085831+0j),(0.48085831000351215+0j)
135,9.048856798723686e-08,(0.108894401+0j),(0.10889440109853699+0j)
136,0.0,(4+0j),(4+0j)
137,0.0,(5+0j),(5+0j)
138,0.0,(7+0j),(7+0j)
140,8.236259171590677e-09,(1.112660266+0j),(1.1126602660916416+0j)
141,6.34289169636748e-08,(0.36451854+0j),(0.36451854023121016+0j)
142,0.0,(4+0j),(4+0j)
143,0.0,(5+0j),(5+0j)
144,0.0,(6+0j),(6+0j)
145,0.0,(7+0j),(7+0j)
148,4.3426001681968055e-08,(0.306962491+0j),(0.30696249086669847+0j)
149,5.124051828145062e-09,(1.121565249+0j),(1.1215652490574697+0j)
150,0.0,(3+0j),(3+0j)
151,0.0,(6+0j),(6+0j)
152,4.328750924150123e-08,(1.134062281+0j),(1.1340622814909074+0j)
154,0.0,(-590.8154434+0j),(-590.8154434+0j)
155,0.0,(-638.3710776+0j),(-638.3710776+0j)
156,0.0,(-408.5620532+0j),(-408.5620532+0j)
157,4.4024094668685417e-08,(-22.71482776+0j),(-22.71482775+0j)
158,0.0,(-3.606631303+0j),(-3.606631303+0j)
159,1.629438741849737e-08,(-6.137083015+0j),(-6.137083016+0j)
160,0.0,(-14.46239986+0j),(-14.46239986+0j)
161,0.0,(-31.61414605+0j),(-31.61414605+0j)
162,5.998179222503517e-09,(8131.076377+0j),(8131.076377487717+0j)
163,5.965086068552391e-09,(7667.227026+0j),(7667.227026457356+0j)
